,tokens,benchmark,metric_type,score,tpr
381,1825570816.0,mmlu-medical_genetics,acc_norm,0.3,20.0
382,1825570816.0,mmlu-medical_genetics,acc_norm_stderr,0.046056618647183814,20.0
383,1825570816.0,mmlu-medical_genetics,acc_stderr,0.046056618647183814,20.0
385,1825570816.0,mmlu-miscellaneous,acc,0.22860791826309068,20.0
386,1825570816.0,mmlu-miscellaneous,acc_norm,0.22860791826309068,20.0
387,1825570816.0,mmlu-miscellaneous,acc_norm_stderr,0.015016884698539896,20.0
388,1825570816.0,mmlu-miscellaneous,acc_stderr,0.015016884698539896,20.0
390,1825570816.0,mmlu-moral_disputes,acc,0.2254335260115607,20.0
391,1825570816.0,mmlu-moral_disputes,acc_norm,0.2254335260115607,20.0
392,1825570816.0,mmlu-moral_disputes,acc_norm_stderr,0.022497230190967565,20.0
393,1825570816.0,mmlu-moral_disputes,acc_stderr,0.022497230190967565,20.0
395,1825570816.0,mmlu-moral_scenarios,acc,0.27150837988826815,20.0
396,1825570816.0,mmlu-moral_scenarios,acc_norm,0.27150837988826815,20.0
397,1825570816.0,mmlu-moral_scenarios,acc_norm_stderr,0.01487425216809527,20.0
398,1825570816.0,mmlu-moral_scenarios,acc_stderr,0.01487425216809527,20.0
400,1825570816.0,mmlu-nutrition,acc,0.24509803921568624,20.0
401,1825570816.0,mmlu-nutrition,acc_norm,0.24509803921568624,20.0
402,1825570816.0,mmlu-nutrition,acc_norm_stderr,0.02463004897982476,20.0
403,1825570816.0,mmlu-nutrition,acc_stderr,0.02463004897982476,20.0
405,1825570816.0,mmlu-philosophy,acc,0.21864951768488747,20.0
406,1825570816.0,mmlu-philosophy,acc_norm,0.21864951768488747,20.0
407,1825570816.0,mmlu-philosophy,acc_norm_stderr,0.023475581417861106,20.0
408,1825570816.0,mmlu-philosophy,acc_stderr,0.023475581417861106,20.0
410,1825570816.0,mmlu-prehistory,acc,0.30246913580246915,20.0
411,1825570816.0,mmlu-prehistory,acc_norm,0.30246913580246915,20.0
412,1825570816.0,mmlu-prehistory,acc_norm_stderr,0.025557653981868045,20.0
413,1825570816.0,mmlu-prehistory,acc_stderr,0.025557653981868045,20.0
415,1825570816.0,mmlu-professional_accounting,acc,0.24113475177304963,20.0
416,1825570816.0,mmlu-professional_accounting,acc_norm,0.24113475177304963,20.0
417,1825570816.0,mmlu-professional_accounting,acc_norm_stderr,0.02551873104953777,20.0
418,1825570816.0,mmlu-professional_accounting,acc_stderr,0.02551873104953777,20.0
420,1825570816.0,mmlu-professional_law,acc,0.25358539765319427,20.0
421,1825570816.0,mmlu-professional_law,acc_norm,0.25358539765319427,20.0
422,1825570816.0,mmlu-professional_law,acc_norm_stderr,0.01111171533610114,20.0
423,1825570816.0,mmlu-professional_law,acc_stderr,0.01111171533610114,20.0
425,1825570816.0,mmlu-professional_medicine,acc,0.3088235294117647,20.0
426,1825570816.0,mmlu-professional_medicine,acc_norm,0.3088235294117647,20.0
427,1825570816.0,mmlu-professional_medicine,acc_norm_stderr,0.028064998167040094,20.0
428,1825570816.0,mmlu-professional_medicine,acc_stderr,0.028064998167040094,20.0
430,1825570816.0,mmlu-professional_psychology,acc,0.2173202614379085,20.0
431,1825570816.0,mmlu-professional_psychology,acc_norm,0.2173202614379085,20.0
432,1825570816.0,mmlu-professional_psychology,acc_norm_stderr,0.016684820929148598,20.0
433,1825570816.0,mmlu-professional_psychology,acc_stderr,0.016684820929148598,20.0
435,1825570816.0,mmlu-public_relations,acc,0.3,20.0
436,1825570816.0,mmlu-public_relations,acc_norm,0.3,20.0
437,1825570816.0,mmlu-public_relations,acc_norm_stderr,0.04389311454644286,20.0
438,1825570816.0,mmlu-public_relations,acc_stderr,0.04389311454644286,20.0
440,1825570816.0,mmlu-security_studies,acc,0.2816326530612245,20.0
441,1825570816.0,mmlu-security_studies,acc_norm,0.2816326530612245,20.0
442,1825570816.0,mmlu-security_studies,acc_norm_stderr,0.02879518557429128,20.0
443,1825570816.0,mmlu-security_studies,acc_stderr,0.02879518557429128,20.0
445,1825570816.0,mmlu-sociology,acc,0.31840796019900497,20.0
446,1825570816.0,mmlu-sociology,acc_norm,0.31840796019900497,20.0
