,flops,params,tokens,benchmark,metric_type,score,tpr
143,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-anatomy,acc_norm,0.25925925925925924,20.0
144,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-anatomy,acc_norm_stderr,0.03785714465066654,20.0
145,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-anatomy,acc_stderr,0.03785714465066654,20.0
147,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-astronomy,acc,0.1973684210526316,20.0
148,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-astronomy,acc_norm,0.1973684210526316,20.0
149,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-astronomy,acc_norm_stderr,0.03238981601699397,20.0
150,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-astronomy,acc_stderr,0.03238981601699397,20.0
152,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-business_ethics,acc,0.28,20.0
153,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-business_ethics,acc_norm,0.28,20.0
154,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-business_ethics,acc_norm_stderr,0.04512608598542127,20.0
155,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-business_ethics,acc_stderr,0.04512608598542127,20.0
157,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-clinical_knowledge,acc,0.2339622641509434,20.0
158,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-clinical_knowledge,acc_norm,0.2339622641509434,20.0
159,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-clinical_knowledge,acc_norm_stderr,0.02605529690115292,20.0
160,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-clinical_knowledge,acc_stderr,0.02605529690115292,20.0
162,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_biology,acc,0.2361111111111111,20.0
163,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_biology,acc_norm,0.2361111111111111,20.0
164,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_biology,acc_norm_stderr,0.03551446610810826,20.0
165,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_biology,acc_stderr,0.03551446610810826,20.0
167,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_chemistry,acc,0.23,20.0
168,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_chemistry,acc_norm,0.23,20.0
169,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_chemistry,acc_norm_stderr,0.04229525846816506,20.0
170,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_chemistry,acc_stderr,0.04229525846816506,20.0
172,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_computer_science,acc,0.3,20.0
173,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_computer_science,acc_norm,0.3,20.0
174,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_computer_science,acc_norm_stderr,0.046056618647183814,20.0
175,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_computer_science,acc_stderr,0.046056618647183814,20.0
177,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_mathematics,acc,0.2,20.0
178,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_mathematics,acc_norm,0.2,20.0
179,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_mathematics,acc_norm_stderr,0.040201512610368445,20.0
180,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_mathematics,acc_stderr,0.040201512610368445,20.0
182,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_medicine,acc,0.3063583815028902,20.0
183,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_medicine,acc_norm,0.3063583815028902,20.0
184,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_medicine,acc_norm_stderr,0.035149425512674394,20.0
185,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_medicine,acc_stderr,0.035149425512674394,20.0
187,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_physics,acc,0.2352941176470588,20.0
188,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_physics,acc_norm,0.2352941176470588,20.0
189,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_physics,acc_norm_stderr,0.04220773659171453,20.0
190,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-college_physics,acc_stderr,0.04220773659171453,20.0
192,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-computer_security,acc,0.33,20.0
193,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-computer_security,acc_norm,0.33,20.0
194,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-computer_security,acc_norm_stderr,0.047258156262526045,20.0
195,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-computer_security,acc_stderr,0.047258156262526045,20.0
197,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-conceptual_physics,acc,0.2680851063829787,20.0
198,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-conceptual_physics,acc_norm,0.2680851063829787,20.0
199,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-conceptual_physics,acc_norm_stderr,0.02895734278834235,20.0
200,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-conceptual_physics,acc_stderr,0.02895734278834235,20.0
202,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-econometrics,acc,0.24561403508771928,20.0
203,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-econometrics,acc_norm,0.24561403508771928,20.0
204,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-econometrics,acc_norm_stderr,0.04049339297748139,20.0
205,1.9739956381483008e+18,122777600.0,2679635968.0,mmlu-econometrics,acc_stderr,0.04049339297748139,20.0
